 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 01/12/2012   17:49:40
 ---------------------------------------------------------------------------------------------------------------------------------- 

18:00:33  |  General  |  Info  |  destroy layer 'Modal'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Main'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Popup'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'FadeMiddle'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Info'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'ToolTip'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'DragAndDrop'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'FadeBusy'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Pointer'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Fade'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Statistic'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  LayerManager successfully shutdown  |  .\src\MyGUI_LayerManager.cpp  |  96
18:00:33  |  General  |  Info  |  * Shutdown: FontManager  |  .\src\MyGUI_FontManager.cpp  |  54
18:00:33  |  General  |  Info  |  FontManager successfully shutdown  |  .\src\MyGUI_FontManager.cpp  |  58
18:00:33  |  General  |  Info  |  * Shutdown: ControllerManager  |  .\src\MyGUI_ControllerManager.cpp  |  47
18:00:33  |  General  |  Info  |  ControllerManager successfully shutdown  |  .\src\MyGUI_ControllerManager.cpp  |  52
18:00:33  |  General  |  Info  |  * Shutdown: ClipboardManager  |  .\src\MyGUI_ClipboardManager.cpp  |  51
18:00:33  |  General  |  Info  |  ClipboardManager successfully shutdown  |  .\src\MyGUI_ClipboardManager.cpp  |  53
18:00:33  |  General  |  Info  |  * Shutdown: LayoutManager  |  .\src\MyGUI_LayoutManager.cpp  |  54
18:00:33  |  General  |  Info  |  LayoutManager successfully shutdown  |  .\src\MyGUI_LayoutManager.cpp  |  58
18:00:33  |  General  |  Info  |  * Shutdown: PluginManager  |  .\src\MyGUI_PluginManager.cpp  |  47
18:00:33  |  General  |  Info  |  PluginManager successfully shutdown  |  .\src\MyGUI_PluginManager.cpp  |  52
18:00:33  |  General  |  Info  |  * Shutdown: DynLibManager  |  .\src\MyGUI_DynLibManager.cpp  |  43
18:00:33  |  General  |  Info  |  DynLibManager successfully shutdown  |  .\src\MyGUI_DynLibManager.cpp  |  57
